time_s,thrust_n
0.001,480.452
0.034,8808.324
0.089,6516.155
0.2,7366.967
0.348,6876.506
0.753,6716.37
0.797,7016.625
0.843,6716.37
0.916,7016.625
0.993,6716.37
1.021,7036.642
1.564,6876.506
1.585,7136.771
2.144,7196.822
2.328,7557.128
2.591,7316.924
2.924,7567.181
3.133,7036.642
3.366,7116.71
3.749,6866.497
3.768,7116.71
4.325,6876.506
4.329,7176.805
4.402,6876.506
4.907,7136.771
5.157,5975.652
5.569,2872.706
5.751,1911.801
6.234,1040.973
6.61,470.444
6.801,650.597
6.828,0
